Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C8",0402,4,100p,C2941926
"C10, C11, C12, C14, C16, C21, C24, C7, C9",0402,9,100n,C60474
"C13, C15, C17, C18, C19, C22",0402,6,10n,C60133
"C20, C23",0402,2,1u,C29266
C25,0402,1,4.7u,C23733
C3,0402,1,3.3p,C2941931
C4,0402,1,8.2p,C2857971
C5,0402,1,6.8p,C1864373
D1,SOT-23-3,1,"BAV99,215",C2500
IC1,QFN50P500X500X80-33N-D,1,SX1255IWLTRT,C89372
J1,U.FL_Vertical_Passthrough,1,TX,C5137195
J2,U.FL_Vertical_Passthrough,1,RX,C5137195
J3,U.FL_Vertical_GND,1,EXT_CLK,C5137195
"L1, L3, L4",0402,3,39n,C40399699
L2,0402,1,22n,C22440906
LED1,0402,1,Red,C7496803
LED2,0402,1,Amber,C5123495
LED3,0402,1,Green,C74338
"Q1, Q2",SOT-323_SC-70,2,BC817-40W,C383187
"R1, R19, R2, R20, R21, R22, R23, R24, R25, R26, R3, R4, R5, R6, R7",0402,15,100R,C106232
"R10, R8, R9",0402,3,1M,C26083
"R11, R12, R13",0402,3,3K9,C2909346
"R14, R15, R16, R17, R18",0402,5,1K,C106235
RFCAN1,2118707-4 CAN,1,GND,C22418535
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,24LC256,C615210
U2,SOT23-5L_1P75X3P05X0P95_STM,1,LDK130M33R,C2969807
Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,38.4MHz,C1987359
